0	0	
1	1	
2	2	
6	6	
7	8	
8	9		
10	11	
11	12	
12	13	
13	15	
14	16	
15	17	
16	18	
17	19	
19	21	
20	22	
21	23	
24	26	
25	27	
26	28	
27	30	
28	31	
30	32	
31	33	
32	34	
33	35	
34	36	
35	37	
36	38	
38	39	
39	40	
40	43	
41	41	
42	44	
43	46	
45	47	
46	48	
48	50	
49	51	
51	54	
52	52	
53	55	
56	59	
58	60	
60	61	
61	56	
62	63	
65	69	
68	73	
69	74	
70	78	
72	77	
73	79	
74	80	
75	81	
76	82	
77	83	
78	85		
80	86	
81	89	
83	90	
84	88	
86	91	
87	92	
88	93	
90	98	
91	100	
92	99	
95	102	
96	104	
97	105	
100	109	
101	108	
102	111	
