2	0	
3	1	
4	2	
5	6	
6	3	
7	7	
8	8	
9	10	
11	11		
15	12	
16	14	
18	17	
20	12	
23	15	
28	16	
30	18	
32	20	
33	21	
34	21	
35	22	
37	24	
41	29	
43	28	
45	37	
46	40	
47	41	
48	45	
49	46	
50	47	
51	49	
57	52	
58	53	
59	55		
61	57	
62	61	
64	63	
66	66	
71	68	
72	69	
73	70	
75	71	
76	72	
77	73	
79	74	
80	75	
81	77	
82	78	
83	79	
84	80	
85	85	
88	83	
89	81	
91	82	
93	85	
95	86	
96	88	
97	89	
98	90	
100	91	
101	92	
102	93	
103	94	
104	95	
106	97	
107	99	
108	100	
110	104	
113	107	
114	114	
117	115	
118	118	
119	120	
