0	141	
1	140	
2	94	
3	98	
4	81	
5	60	
6	36	
7	30	
8	53	
9	43	
10	58	
11	83	
12	45	
13	57	
14	123	
15	46	
16	144	
17	138	
18	128	
19	134	
20	96	
21	146	
22	97	
23	63	
24	48	
25	124	
26	122	
27	127	
28	5	
29	129	
30	65	
31	54	
32	89	
33	20	
34	88	
35	91	
37	64	
39	125	
41	145	
42	126	
43	62	
44	61	
46	51	
47	49	
48	7	
49	10	
50	9		
53	117	
54	15	
55	17	
56	119	
57	107	
58	130	
59	41	
60	18	
61	38	
62	78	
63	111	
64	82	
65	75	
66	100	
67	72	
68	108	
69	95	
72	114	
73	19	
74	84	
75	118	
76	56	
78	55	
79	52	
80	6	
81	3	
82	16	
83	13	
86	67	
87	31	
88	28	
89	104	
90	68	
91	26		
93	105	
94	143	
95	47	
96	50	
97	148	
98	147	
99	137	
100	69	
101	142	
102	4	
103	12	
104	80	
105	77	
106	74	
107	71	
108	109	
109	112	
110	115	
111	37	
112	102	
113	133	
114	131	
115	135	
116	39	
117	40	
118	23	
119	21	
120	34	
121	27	
122	35	
123	59	
124	106	
125	101	
126	11	
128	93	
129	139	
130	25	
131	8	
132	32	
133	87	
134	121	
135	33	
136	76	
137	79	
138	73	
139	70	
140	85	
141	110	
142	103	
143	29	
144	116	
145	113	
146	86	
147	44	
148	90	
149	24	
150	42	
151	2	
