1	1	
2	2	
3	3	
5	5	
6	4	
7	6	
8	8	
13	21	
14	13	
15	14	
16	15	
17	16	
19	18	
21	7	
22	25	
24	23		
26	24	
30	26	
31	28	
32	19	
33	30	
34	31	
35	32		
38	34	
39	35	
40	38	
41	37	
42	39	
44	9	
45	40	
46	41	
47	67	
48	45	
49	46	
50	43	
51	47	
52	48	
53	49	
54	54	
60	56	
61	57	
62	58	
63	60	
65	61	
67	62	
68	63	
69	64	
70	65	
71	66	
72	68	
73	69	
74	70	
75	71	
76	72		
78	74	
79	79	
80	75	
82	76	
83	77	
84	78	
85	80	
86	81	
87	82	
90	86	
91	87	
92	88	
93	89	
94	90	
95	91	
96	93	
98	94	
99	123	
100	96	
101	97	
103	99	
104	100	
105	101	
106	102	
107	103	
108	109	
109	104		
111	114	
112	106	
113	107	
115	110	
116	112	
117	113	
119	116	
120	117	
123	120	
124	121	
125	124	
126	125	
128	126	
129	115	
130	128	
131	127	
132	129	
134	132	
135	133	
136	135	
137	136	
138	138	
139	142	
140	134	
141	139	
142	140	
143	141	
145	144	
