1	1	
4	2	
5	3	
6	4	
8	6	
12	10		
15	13	
19	9	
20	14	
23	19	
24	18	
25	16	
29	17	
30	22	
31	26	
32	24	
37	29	
38	35	
40	30	
41	33	
43	36	
44	31	
45	37	
46	35	
47	38	
48	39	
51	41	
52	44	
54	46	
60	53	
61	55	
62	56	
65	58	
67	61	
68	60	
72	67	
74	68	
75	70	
76	71	
77	73	
78	75	
79	74	
80	76	
81	77	
82	78	
84	79	
86	83	
90	85	
91	87	
92	88	
93	90	
95	107	
96	91	
97	93	
102	94		
106	97	
107	99	
108	103	
109	104	
111	106	
115	110	
116	108	
117	112	
119	114	
121	115	
122	117	
123	123	
128	127	
129	122	
130	118	
131	128	
135	138	
136	139	
137	140	
139	143	
141	146	
142	147	
